Customer_ID_Numeric,Category,Revenue_In_Category,Profit_In_Category,Quantity_In_Category,R_Score,Segment,M_Score_Category,Segment_Category
0,Accessories,603.03,221.49,3,2,At_Risk,5.0,High_Value
1,Accessories,297.2,97.09,4,5,Potential,4.0,Champions
2,Clothing & Apparel,68.19,25.47,1,3,At_Risk,1.0,At_Risk
3,Clothing & Apparel,628.92,231.38,3,5,Potential,4.0,Champions
4,Accessories,216.63,42.46,1,2,Lost,3.0,At_Risk
5,Electronics,701.15,90.63,1,5,Champions,2.0,Potential
6,Electronics,1750.68,320.37,2,5,Champions,5.0,Champions
7,Clothing & Apparel,329.29,65.91,1,4,Champions,3.0,Potential
7,Home & Furniture,1263.99,432.19,3,4,Champions,4.0,Champions
8,Clothing & Apparel,230.7,87.44,2,2,Lost,2.0,Lost
9,Electronics,2547.55,472.9,5,2,High_Value,5.0,High_Value
10,Clothing & Apparel,730.24,220.43,2,1,High_Value,5.0,High_Value
10,Home & Furniture,481.9,91.41,1,1,High_Value,2.0,Lost
11,Accessories,124.92,24.65,1,2,Lost,2.0,Lost
12,Electronics,1434.12,246.97,2,1,High_Value,4.0,High_Value
13,Clothing & Apparel,65.54,15.19,2,2,Lost,1.0,Lost
14,Electronics,790.39,107.36,1,4,Champions,3.0,Potential
15,Home & Furniture,70.27,16.25,1,2,Lost,1.0,Lost
16,Clothing & Apparel,96.81,22.57,1,2,Lost,1.0,Lost
17,Clothing & Apparel,369.28,135.86,2,3,At_Risk,3.0,Loyal
18,Clothing & Apparel,104.5,21.17,1,1,Lost,1.0,Lost
19,Clothing & Apparel,59.75,13.47,1,1,Lost,1.0,Lost
20,Clothing & Apparel,1345.25,541.55,5,1,High_Value,5.0,High_Value
21,Electronics,844.67,106.63,1,3,Loyal,3.0,Loyal
22,Accessories,158.4,61.29,2,1,At_Risk,2.0,Lost
22,Clothing & Apparel,373.51,121.97,1,1,At_Risk,3.0,At_Risk
23,Accessories,424.59,93.32,3,3,Loyal,4.0,Loyal
24,Home & Furniture,1237.76,158.76,2,3,Loyal,4.0,Loyal
25,Accessories,229.22,91.28,1,1,Lost,3.0,At_Risk
26,Clothing & Apparel,390.32,92.92,1,2,At_Risk,3.0,At_Risk
27,Electronics,2823.24,310.43,4,4,Champions,5.0,Champions
28,Accessories,285.38,125.15,2,3,At_Risk,4.0,Loyal
29,Home & Furniture,888.42,247.36,1,2,High_Value,4.0,High_Value
30,Electronics,447.73,46.93,1,3,Loyal,2.0,At_Risk
31,Electronics,1168.88,132.27,2,4,Champions,4.0,Champions
32,Home & Furniture,251.97,74.71,1,4,Potential,1.0,At_Risk
33,Accessories,204.11,55.32,1,1,Lost,3.0,At_Risk
34,Electronics,652.49,71.62,1,3,Loyal,2.0,At_Risk
35,Clothing & Apparel,272.86,97.83,1,2,Lost,3.0,At_Risk
36,Home & Furniture,358.34,93.12,1,2,Lost,2.0,Lost
37,Clothing & Apparel,213.71,42.76,1,1,Lost,2.0,Lost
